sql [2021-06-25 08:41:45] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;
sql [2021-06-25 09:21:41] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:25:23] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:37:19] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:37:42] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:37:55] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:38:39] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:40:18] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:41:10] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:42:23] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:46:52] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:47:00] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:47:53] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:52:40] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:56:19] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:04:24] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:04:29] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:04:54] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:05:12] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:06:21] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:29:15] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:47:07] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:48:03] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:57:00] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:57:04] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:57:39] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:57:54] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 10:58:03] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 11:02:21] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 11:02:25] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 11:02:27] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

